KEGG.Pathway	PA14	PAO1
ABC transporters		4.0
Amino sugar and nucleotide sugar metabolism		1.0
Arginine and proline metabolism		1.0
Bacterial chemotaxis	2.0
Bacterial secretion system		1.0
Biofilm formation - Pseudomonas aeruginosa	9.0	20.0
Biosynthesis of nucleotide sugars		1.0
Biosynthesis of secondary metabolites	1.0	1.0
Cationic antimicrobial peptide (CAMP) resistance	1.0	4.0
Flagellar assembly	12.0	7.0
Fructose and mannose metabolism		1.0
Metabolic pathways		6.0
O-Antigen nucleotide sugar biosynthesis		1.0
Phenazine biosynthesis	1.0
Purine metabolism		4.0
Quorum sensing	5.0	9.0
RNA degradation		6.0
Transcription factors	1.0
Two-component system	19.0	21.0
beta-Lactam resistance		8.0
